,loc_id,id,iso_2,iso_3,country_en,country_cz,latitude,longitude,T1990,T1995,T2000,T2005,T2010,T2015,T2019,M1990,M1995,M2000,M2005,M2010,M2015,M2019,F1990,F1995,F2000,F2005,F2010,F2015,F2019
45,4,4,AF,AFG,Afghanistan,Afghánistán,33.93911,67.709953,57686.0,71522.0,75917.0,87300.0,102246,489749,149762,32558.0,39105.0,42848.0,49274.0,57709,248212,74974,25128.0,32417.0,33069.0,38026.0,44537,241537,74788
46,4,4,AF,AFG,Afghanistan,Afghánistán,33.93911,67.709953,57686.0,71522.0,75917.0,87300.0,102246,489749,149762,32558.0,39105.0,42848.0,49274.0,57709,248212,74974,25128.0,32417.0,33069.0,38026.0,44537,241537,74788
47,4,4,AF,AFG,Afghanistan,Afghánistán,33.93911,67.709953,57686.0,71522.0,75917.0,87300.0,102246,489749,149762,32558.0,39105.0,42848.0,49274.0,57709,248212,74974,25128.0,32417.0,33069.0,38026.0,44537,241537,74788
48,4,4,AF,AFG,Afghanistan,Afghánistán,33.93911,67.709953,57686.0,71522.0,75917.0,87300.0,102246,489749,149762,32558.0,39105.0,42848.0,49274.0,57709,248212,74974,25128.0,32417.0,33069.0,38026.0,44537,241537,74788
49,4,4,AF,AFG,Afghanistan,Afghánistán,33.93911,67.709953,57686.0,71522.0,75917.0,87300.0,102246,489749,149762,32558.0,39105.0,42848.0,49274.0,57709,248212,74974,25128.0,32417.0,33069.0,38026.0,44537,241537,74788
50,4,4,AF,AFG,Afghanistan,Afghánistán,33.93911,67.709953,57686.0,71522.0,75917.0,87300.0,102246,489749,149762,32558.0,39105.0,42848.0,49274.0,57709,248212,74974,25128.0,32417.0,33069.0,38026.0,44537,241537,74788
51,4,4,AF,AFG,Afghanistan,Afghánistán,33.93911,67.709953,57686.0,71522.0,75917.0,87300.0,102246,489749,149762,32558.0,39105.0,42848.0,49274.0,57709,248212,74974,25128.0,32417.0,33069.0,38026.0,44537,241537,74788
52,4,4,AF,AFG,Afghanistan,Afghánistán,33.93911,67.709953,57686.0,71522.0,75917.0,87300.0,102246,489749,149762,32558.0,39105.0,42848.0,49274.0,57709,248212,74974,25128.0,32417.0,33069.0,38026.0,44537,241537,74788
53,4,4,AF,AFG,Afghanistan,Afghánistán,33.93911,67.709953,57686.0,71522.0,75917.0,87300.0,102246,489749,149762,32558.0,39105.0,42848.0,49274.0,57709,248212,74974,25128.0,32417.0,33069.0,38026.0,44537,241537,74788
54,4,4,AF,AFG,Afghanistan,Afghánistán,33.93911,67.709953,57686.0,71522.0,75917.0,87300.0,102246,489749,149762,32558.0,39105.0,42848.0,49274.0,57709,248212,74974,25128.0,32417.0,33069.0,38026.0,44537,241537,74788
