latitude;longitude;id;iso_3
1.352083;103.819836;702;SGP
-24.143474;-10.030696;654;SHN
46.151241;14.995463;705;SVN
77.553604;23.670272;744;SJM
48.669026;19.699024;703;SVK
8.460555;-11.779889;694;SLE
43.94236;12.457777;674;SMR
14.497401;-14.452362;686;SEN
5.152149;46.199616;706;SOM
3.919305;-56.027783;740;SUR
0.18636;6.613081;678;STP
13.794185;-88.89653;222;SLV
34.802075;38.996815;760;SYR
-26.522503;31.465866;748;SWZ
21.694025;-71.797928;796;TCA
15.454166;18.732207;148;TCD
-49.280366;69.348557;260;ATF
8.619543;0.824782;768;TGO
15.870032;100.992541;764;THA
38.861034;71.276093;762;TJK
-8.967363;-171.855881;772;TKL
-8.874217;125.727539;626;TLS
38.969719;59.556278;795;TKM
33.886917;9.537499;788;TUN
-21.178986;-175.198242;776;TON
38.963745;35.243322;792;TUR
10.691803;-61.222503;780;TTO
-7.109535;177.64933;798;TUV
23.69781;120.960515;158;TWN
-6.369028;34.888822;834;TZA
48.379433;31.16558;804;UKR
1.373333;32.290275;800;UGA
37.09024;-95.712891;840;USA
-32.522779;-55.765835;858;URY
41.377491;64.585262;860;UZB
41.902916;12.453389;336;VAT
12.984305;-61.287228;670;VCT
6.42375;-66.58973;862;VEN
18.420695;-64.639968;92;VGB
18.335765;-64.896335;850;VIR
14.058324;108.277199;704;VNM
-15.376706;166.959158;548;VUT
-13.768752;-177.156097;876;WLF
-13.759029;-172.104629;882;WSM
15.552727;48.516388;887;YEM
-12.8275;45.166244;175;MYT
-30.559482;22.937506;710;ZAF
-13.133897;27.849332;894;ZMB
-19.015438;29.154857;716;ZWE
