latitude;longitude;id;iso_3
42.546245;1.601554;20;AND
23.424076;53.847818;784;ARE
33.93911;67.709953;4;AFG
17.060816;-61.796428;28;ATG
18.220554;-63.068615;660;AIA
41.153332;20.168331;8;ALB
40.069099;45.038189;51;ARM
-11.202692;17.873887;24;AGO
-75.250973;-0.071389;10;ATA
-38.416097;-63.616672;32;ARG
-14.270972;-170.132217;16;ASM
47.516231;14.550072;40;AUT
-25.274398;133.775136;36;AUS
12.52111;-69.968338;533;ABW
40.143105;47.576927;31;AZE
43.915886;17.679076;70;BIH
13.193887;-59.543198;52;BRB
23.684994;90.356331;50;BGD
50.503887;4.469936;56;BEL
12.238333;-1.561593;854;BFA
42.733883;25.48583;100;BGR
25.930414;50.637772;48;BHR
-3.373056;29.918886;108;BDI
9.30769;2.315834;204;BEN
32.321384;-64.75737;60;BMU
4.535277;114.727669;96;BRN
-16.290154;-63.588653;68;BOL
-14.235004;-51.92528;76;BRA
25.03428;-77.39628;44;BHS
27.514162;90.433601;64;BTN
-54.423199;3.413194;74;BVT
-22.328474;24.684866;72;BWA
53.709807;27.953389;112;BLR
17.189877;-88.49765;84;BLZ
56.130366;-106.346771;124;CAN
-12.164165;96.870956;166;CCK
-4.038333;21.758664;180;COD
6.611111;20.939444;140;CAF
-0.228021;15.827659;178;COG
7.539989;-5.54708;384;CIV
-21.236736;-159.777671;184;COK
-35.675147;-71.542969;152;CHL
7.369722;12.354722;120;CMR
35.86166;104.195397;156;CHN
4.570868;-74.297333;170;COL
9.748917;-83.753428;188;CRI
21.521757;-77.781167;192;CUB
16.002082;-24.013197;132;CPV
-10.447525;105.690449;162;CXR
35.126413;33.429859;196;CYP
49.817492;15.472962;203;CZE
51.165691;10.451526;276;DEU
11.825138;42.590275;262;DJI
56.26392;9.501785;208;DNK
15.414999;-61.370976;212;DMA
18.735693;-70.162651;214;DOM
28.033886;1.659626;12;DZA
-1.831239;-78.183406;218;ECU
58.595272;25.013607;233;EST
26.820553;30.802498;818;EGY
24.215527;-12.885834;732;ESH
15.179384;39.782334;232;ERI
40.463667;-3.74922;724;ESP
9.145;40.489673;231;ETH
61.92411;25.748151;246;FIN
-16.578193;179.414413;242;FJI
-51.796253;-59.523613;238;FLK
7.425554;150.550812;583;FSM
61.892635;-6.911806;234;FRO
46.227638;2.213749;250;FRA
-0.803689;11.609444;266;GAB
55.378051;-3.435973;826;GBR
12.262776;-61.604171;308;GRD
42.315407;43.356892;268;GEO
3.933889;-53.125782;254;GUF
49.465691;-2.585278;831;GGY
7.946527;-1.023194;288;GHA
